num_match_score,PAM30,BLOSUM45,RRM_SN,RRM_Corr,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein,sseq_match_score
0,0.2733980582524273,0.1895652173913043,2.858503033886218,0.3698353386619898,0.4006666666666663,0.5016666666666667,0.015000000000000005,0.016666666666666673,0.0
2,0.36084989579626886,0.2732756658320052,2.8231676263528267,0.378528390911936,0.4049301919720759,0.5107984293193715,0.03599476439790583,0.03839441535776622,0.47643979057591623
3,0.4340827797649466,0.37223493516399675,2.6605960750974633,0.30233686647797275,0.44848927875243627,0.5336257309941518,0.07748538011695903,0.07821637426900582,1.4035087719298245
4,0.4441193421110964,0.36673615247171,2.7854063457039713,0.3702247351982277,0.4306697108066975,0.5260654490106533,0.06183409436834083,0.06335616438356154,1.2077625570776256
5,0.5150383596985535,0.45621769534813006,2.915534927818248,0.35951324135059903,0.45125430125430066,0.5387529137529137,0.0833333333333334,0.08449883449883457,1.7412587412587412
6,0.5395848133238621,0.4716330858960759,2.992944062718154,0.3976783656550823,0.4361788617886175,0.5399728997289978,0.09180216802168008,0.09180216802168008,1.8455284552845528
7,0.6000661959399824,0.5397727272727272,3.1166212380040847,0.410287255046984,0.45927128427128405,0.550189393939394,0.11268939393939394,0.11268939393939394,2.272727272727273
8,0.6050431499460622,0.5392512077294684,2.918727171650066,0.4224015442106921,0.4316358024691358,0.5410879629629629,0.09722222222222222,0.09722222222222222,1.9166666666666667
9,0.6893203883495146,0.6419437340153452,2.8370047849419855,0.34242718867129174,0.45196078431372544,0.5588235294117647,0.13235294117647062,0.13235294117647062,2.6470588235294117
10,0.6116504854368933,0.532608695652174,2.996683504168835,0.5932015859730003,0.4749999999999999,0.5416666666666666,0.08333333333333333,0.08333333333333333,2.0
11,0.8171521035598707,0.7753623188405796,2.5530179463823823,0.22174673485698657,0.4974867724867724,0.5833333333333334,0.16666666666666666,0.16666666666666666,4.0
